feature,year,n_samples,count,missing,zero_count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max
Cum_FDD_P4,2017,19898,19898,0,661,43.42049905401729,112.55826203960346,0.0,0.0,0.2511342689394951,4.059444904327393,9.126809120178223,43.734543800354004,169.0324590270393,636.3328745283159,1810.6510372161863
Cum_VPD_P1,2017,19898,19898,0,0,0.45823975221252716,0.18572341505256762,0.1538110226392746,0.24176119655370706,0.26920345723628997,0.36280643194913864,0.4181296229362488,0.5140728652477264,0.7432085096836087,1.4258697140216785,1.86688494682312
Cum_VPD_P2,2017,19898,19898,0,0,0.7030108853791188,0.20065955239850272,0.2828011363744734,0.4441987247765064,0.4928517833352088,0.6041578277945517,0.6753268241882324,0.7565548345446587,1.0438662543892854,1.729069874584674,2.2205777168273926
Cum_VPD_P3,2017,19898,19898,0,0,1.262152792152187,0.34604511474224625,0.4205146729946134,0.7520080949366093,0.8541842967271804,1.060749217867851,1.2080774307250977,1.416103072464466,1.938504722714424,2.738196012079714,3.6996259689331055
Cum_VPD_P4,2017,19898,19898,0,0,2.3966005807908166,0.7505311888117165,0.6095405668020246,1.1999157598614694,1.368004859238863,1.9265456795692446,2.362652599811554,2.7818691469728956,3.935248091816901,5.051779750883574,6.6891398429870605
Delta_NDVI_P2,2017,19898,19898,0,0,0.05970235514116004,0.20019965040269624,-0.7000320330262184,-0.4220859895646572,-0.30309011936187746,-0.06862144917249677,0.06777501106262204,0.20226369798183444,0.37035121768712986,0.4613946588337421,0.9086123108863832
Delta_NDWI_P2,2017,19898,19898,0,0,0.039074805084481475,0.2094628222190312,-0.748358465731144,-0.4693812197446823,-0.3417777406983077,-0.08680280623957506,0.05043654516339295,0.18530366988852615,0.3674869317561387,0.4469389612972734,0.8703779131174088
Delta_SM_P2,2017,19898,19898,0,0,-0.006006797639845337,0.01995215272560829,-0.0888383388519287,-0.049790691435337014,-0.03559561669826504,-0.016853924840688674,-0.00689785182476035,0.00033318623900402503,0.03623166158795352,0.05589860066771494,0.1454387605190277
Delta_NDVI_P3,2017,19898,19898,0,0,0.10017565411984238,0.12426752118378272,-0.5511358380317689,-0.19045596607029439,-0.0900690451264381,0.019419118762016276,0.09227789938449855,0.1701242849230766,0.3294669196009629,0.4263745929300785,0.5926757007837296
Delta_NDWI_P3,2017,19898,19898,0,0,0.1096418268911309,0.12302014867884742,-0.791650915518403,-0.16591759167611603,-0.06112832371145482,0.027710672467947,0.09647241933271289,0.17742374207591638,0.337865644879639,0.4444561799988143,0.587885282933712
Delta_SM_P3,2017,19898,19898,0,0,-0.04782712860260385,0.02969304060878164,-0.106118269264698,-0.08599494367837904,-0.08427880406379691,-0.0695941112935542,-0.05615864694118495,-0.03707112371921535,0.01765395998954757,0.03104474022984508,0.0427263975143432
Delta_NDVI_P4,2017,19898,19898,0,0,0.12196705695446577,0.14038263758066283,-0.479453980922699,-0.2132500582933426,-0.0901954740285872,0.0282811447978019,0.1055933833122253,0.21736687421798703,0.3641297191381454,0.45943259432911865,0.6512974053621292
Delta_NDWI_P4,2017,19898,19898,0,0,0.1514020178598112,0.1563135002931366,-0.4889797121286391,-0.1843620158731937,-0.06336557641625395,0.0402140319347381,0.12783282995224005,0.2521034227684139,0.4373437508940693,0.5546570776030416,0.7403508275747299
Delta_SM_P4,2017,19898,19898,0,0,-0.03229092281979746,0.02859370885275542,-0.1446327567100525,-0.09225019529461856,-0.0723637014627457,-0.052203968167305,-0.03679255396127695,-0.014828961342573025,0.02187725007534018,0.04030337512493127,0.1008074879646302
P1_WUE,2018,19878,19878,0,0,0.2767648815796458,0.29748871143885847,-0.0560254079502163,0.05546710488858418,0.07761186711122968,0.14407511649103413,0.23336348377911337,0.3249105961136988,0.5973317321838858,1.0291950173155935,8.514499579464585
P1_Decoupling_Stress,2018,19878,19878,0,0,3.5105567345988438,5.276496969880748,0.8674848686375453,1.1766316086206894,1.623043065724761,2.3035094598250394,2.8486613423749656,3.745371354015625,6.223806563996651,13.216638019747656,165.17209919660803
P1_Thermal_Efficiency,2018,19878,19878,0,0,0.0008111327962142958,0.00049533647367566,-0.0012722318811672,0.00021540924306702398,0.00028007203013939,0.000484537910324775,0.00069088506365375,0.000977345308781175,0.001873556523911099,0.002498092410687312,0.0052708790401791
P1_Hydrothermal_Balance,2018,19878,19878,0,0,3.5221421223992566,2.6280125800380287,0.0140412831376198,0.3052123567913898,0.5438099491931165,1.8028075740215033,3.0138709377190507,4.548178289312743,7.90903814410744,14.437703944487097,19.75341158995502
P2_WUE,2018,19878,19878,0,0,0.34731385619729876,0.26244301621534416,-0.1171720158569628,-0.05573533669597013,0.05475480290937872,0.16255224607066387,0.2776887484881864,0.46829173120569384,0.8684028670371602,1.1501005620020852,4.189221954730021
P2_Decoupling_Stress,2018,19878,19878,0,0,2.462362093139568,2.634609985735795,0.8881804881499473,0.9925636505287336,1.2213013384597153,1.6630557601567832,2.186653829729573,2.8680380193073844,3.283428972704848,7.90411602016281,63.486525806699966
P2_Thermal_Efficiency,2018,19878,19878,0,0,0.004882002313071009,0.005349718460068167,-0.0011620103387708,-0.00020736291598020295,0.001105884771868625,0.0020861274607769003,0.003277965009392,0.005625157001343125,0.01441554742815899,0.022260519624235083,0.2112137155046815
P2_Hydrothermal_Balance,2018,19878,19878,0,0,103.24777144714308,353.5255415797213,4.7207772795764695,8.918677804215642,15.04244947201216,28.77834356810323,41.942505836486816,83.24786447033792,413.6440486907949,671.5218620300292,28703.86804468706
P3_WUE,2018,19878,19878,0,0,0.6823458122157613,0.5145089120091799,-0.0160758434645411,0.1349026834731715,0.20050158634266305,0.36892348136821096,0.6106925770890601,0.9002301453529298,1.2989114181107935,1.5970335062679135,9.35082172362737
P3_Decoupling_Stress,2018,19878,19878,0,0,6.266739402085579,6.460546162622764,1.1080014592206904,1.350118261122114,1.5043887824410997,3.240715833413834,5.552251479334773,8.233528065072477,12.332895318566942,17.571920488914405,159.2117847091492
P3_Thermal_Efficiency,2018,19878,19878,0,0,0.0011425912525365393,0.00037502842291645133,-0.0010272317390454,0.00038946305855937,0.00055348902062469,0.0009086931060734249,0.00115212583116805,0.0013202658448600748,0.001871317738048895,0.002209898470574425,0.0042137753218762
P3_Hydrothermal_Balance,2018,19878,19878,0,0,7.002823306781592,3.4995584881339785,0.0856835471340578,0.6833432616026405,2.3738143739730617,4.8378636504888215,6.691602958400258,8.106429894269283,14.251458480456058,16.956044028304877,29.36269021407547
P4_WUE,2018,19878,19878,0,0,0.8883525513664127,0.3401734304310086,0.0026491006451942,0.21757303916450216,0.3720818647105653,0.6666422917727624,0.8840056716440353,1.0931713584996818,1.387397213760158,1.6063813670560088,5.483745236217161
P4_Decoupling_Stress,2018,19878,19878,0,0,6.113306180732932,4.09192048784331,1.5687006148420728,2.336185293113969,2.8583647458128216,4.5867406975308445,6.157625412473729,6.879289739926078,8.553226827110057,15.590367602107047,141.06113973765062
P4_Thermal_Efficiency,2018,19878,19878,0,0,0.002180493872915586,0.000541610353787831,6.112194078565482e-05,0.000547107080156391,0.001339298274833775,0.001962514902824175,0.0021925392544791,0.0024440041243266,0.002790541305224555,0.004348173292118855,0.0064705454716759
P4_Hydrothermal_Balance,2018,19878,19878,0,0,2.445572516370927,1.3761726665010567,0.1846314067832458,0.6713678001490587,1.114497148462179,1.5006790065405333,2.145099989259431,2.9906571184161925,5.008091312964646,7.626394440059872,10.684333679633983
